id_hecho,cantidad_victimas,fecha,anio,mes,dia,hora,franja_horaria,lugar_hecho,tipo_calle,comuna,latitud,longitud,participantes,victima,acusado
2017-0120,1,2017-10-02,2017,10,2,15:55:33,15,AU DELLEPIANE Y AV. ESCALADA,AUTOPISTA,9,-34.66245085,-58.47297505,MOTO-CARGAS,MOTO,CARGAS
2017-0123,1,2017-10-10,2017,10,10,1:05:38,1,ALBARIÑO Y AV. ARGENTINA,AVENIDA,8,-34.67216349,-58.46855503,PEATON-AUTO,PEATON,AUTO
2017-0124,1,2017-10-12,2017,10,12,14:40:28,14,JUAN RAMIREZ DE VELAZCO 1211,CALLE,15,-34.59185043,-58.44254033,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0125,1,2017-10-13,2017,10,13,6:12:20,6,AV. FERNANDEZ DE LA CRUZ Y LARRAYA,AVENIDA,8,-34.67926929,-58.46622247,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0126,2,2017-10-14,2017,10,14,6:15:00,6,AV. RIESTRA Y CAÑADA DE GOMEZ,AVENIDA,8,-34.68148508,-58.48003734,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0127,1,2017-10-16,2017,10,16,7:45:00,7,GALLO Y AV. CORDOBA,AVENIDA,2,-34.59800248,-58.41192137,MOTO-MOTO,MOTO,MOTO
2017-0128,1,2017-10-17,2017,10,17,12:30:00,12,DR. JUAN F. ARANGUREN 611,CALLE,6,-34.61349731,-58.44034689,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0129,1,2017-10-26,2017,10,26,19:15:15,19,AU PERITO MORENO Y AU 25 DE MAYO,AUTOPISTA,9,-34.64925746,-58.47155277,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0130,1,2017-10-27,2017,10,27,5:30:00,5,CHORROARIN Y AV. SAN MARTIN,AVENIDA,15,-34.59967065,-58.47883099,AUTO-CARGAS,AUTO,CARGAS
2017-0132,1,2017-10-30,2017,10,30,14:00:00,14,COSQUIN Y AV. CNEL. ROCA,AVENIDA,8,-34.6937413,-58.46552171,MOTO-PASAJEROS,MOTO,PASAJEROS
