periodo,long,lat,denominacion_evento,fecha,horario,capacidad,disposicion_autorizante,predio,domicilio,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
201909,,,CIRCO DEL ANIMA,2019-09-27 00:00:00,"de 18,00 a 23,00 hrs.",1600,DI-2019-9047-GCABA-DGHP,Estacionamiento Casino de Puerto Madero,Avda. E. Rawson de Dellepiane S/N. ,,,,,,
201909,,,CIRCO DEL ANIMA,2019-09-28 00:00:00,"de 18,00 a 23,00 hrs.",1600,DI-2019-9047-GCABA-DGHP,Estacionamiento Casino de Puerto Madero,Avda. E. Rawson de Dellepiane S/N. ,,,,,,
201909,,,CIRCO DEL ANIMA,2019-09-29 00:00:00,"de 18,00 a 23,00 hrs.",1600,DI-2019-9047-GCABA-DGHP,Estacionamiento Casino de Puerto Madero,Avda. E. Rawson de Dellepiane S/N. ,,,,,,
201909,-58.438342,-34.561655,CHALLENGER DE BUENOS AIRES,2019-09-23 00:00:00,"de 10,00 a 02,00 hrs.",914,DI-2019-9058-GCABA-DGHP,Rackett Club,Valentín Alsina 1450.,"ALSINA, VALENTIN AV.",1450,Belgrano,Comuna 13,,
201909,-58.438342,-34.561655,CHALLENGER DE BUENOS AIRES,2019-09-24 00:00:00,"de 10,00 a 02,00 hrs.",914,DI-2019-9058-GCABA-DGHP,Rackett Club,Valentín Alsina 1450.,"ALSINA, VALENTIN AV.",1450,Belgrano,Comuna 13,,
201909,-58.438342,-34.561655,CHALLENGER DE BUENOS AIRES,2019-09-25 00:00:00,"de 10,00 a 02,00 hrs.",914,DI-2019-9058-GCABA-DGHP,Rackett Club,Valentín Alsina 1450.,"ALSINA, VALENTIN AV.",1450,Belgrano,Comuna 13,,
201909,-58.438342,-34.561655,CHALLENGER DE BUENOS AIRES,2019-09-26 00:00:00,"de 10,00 a 02,00 hrs.",914,DI-2019-9058-GCABA-DGHP,Rackett Club,Valentín Alsina 1450.,"ALSINA, VALENTIN AV.",1450,Belgrano,Comuna 13,,
201909,-58.438342,-34.561655,CHALLENGER DE BUENOS AIRES,2019-09-27 00:00:00,"de 10,00 a 02,00 hrs.",914,DI-2019-9058-GCABA-DGHP,Rackett Club,Valentín Alsina 1450.,"ALSINA, VALENTIN AV.",1450,Belgrano,Comuna 13,,
201909,-58.438342,-34.561655,CHALLENGER DE BUENOS AIRES,2019-09-28 00:00:00,"de 10,00 a 02,00 hrs.",914,DI-2019-9058-GCABA-DGHP,Rackett Club,Valentín Alsina 1450.,"ALSINA, VALENTIN AV.",1450,Belgrano,Comuna 13,,
201909,-58.438342,-34.561655,CHALLENGER DE BUENOS AIRES,2019-09-29 00:00:00,"de 10,00 a 02,00 hrs.",914,DI-2019-9058-GCABA-DGHP,Rackett Club,Valentín Alsina 1450.,"ALSINA, VALENTIN AV.",1450,Belgrano,Comuna 13,,
201909,-58.448246,-34.590964,PAN PERCUSION CON SEÑAS,2019-09-26 00:00:00,"de 19,00 a 00,30 hrs.",2999,DI-2019-9287-GCABA-DGHP,Complejo C Art Media,Avda. Corrientes 6271.,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201909,-58.426797,-34.569389,BIOSFERIA,2019-09-27 00:00:00,"de 10,00 a 18,00 hrs,",3000,DI-2019-9288-GCABA-DGHP,Hipódromo de Palermo,Avda. del Libertador 4103.,DEL LIBERTADOR AV.,4103,Palermo,Comuna 14,1426,C1426BWC
201909,-58.426797,-34.569389,BIOSFERIA,2019-09-28 00:00:00,"de 10,00 a 18,00 hrs,",3000,DI-2019-9288-GCABA-DGHP,Hipódromo de Palermo,Avda. del Libertador 4103.,DEL LIBERTADOR AV.,4103,Palermo,Comuna 14,1426,C1426BWC
201909,-58.426797,-34.569389,BIOSFERIA,2019-09-29 00:00:00,"de 10,00 a 18,00 hrs,",3000,DI-2019-9288-GCABA-DGHP,Hipódromo de Palermo,Avda. del Libertador 4103.,DEL LIBERTADOR AV.,4103,Palermo,Comuna 14,1426,C1426BWC
201909,-58.431272,-34.566752,BEER GARDEN IMPERIAL,2019-09-26 00:00:00,"de 19,00 a 24,00 hrs.",1500,DI-2019-9295-GCABA-DGHP,Campo Argentino de Polo,Avda. del Libertador 4505.,DEL LIBERTADOR AV.,4505,Palermo,Comuna 14,1426,C1426BWG
201909,-58.471803,-34.592463,FESTIVAL FUTUROCK,2019-09-28 00:00:00,"de 13,00a 01,30 hrs.",12500,DI-2019-9293-GCABA-DGHP,Micro Estadio Malvinas Argentinas ,Gutenberg 350.,GUTENBERG,350,Paternal,Comuna 15,1427,C1427CQD
201909,-58.448246,-34.590964,ENFOCA,2019-09-29 00:00:00,"de 12,00 a 22,00 hrs. ",2999,DI-2019-9366-GCABA-DGHP,Complejo C Art Media,Avda. Corrientes 6271.,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201910,-58.426797,-34.569389,MENSAJEROS DE PAZ,2019-10-01 00:00:00,"de 20,00 a 24,00",250,DI-2019-9575-GCABA-DGHP,Hipódromo de Palermo,Avda. del Libertador 4103.,DEL LIBERTADOR AV.,4103,Palermo,Comuna 14,1426,C1426BWC
201910,-58.445194,-34.547244,WHITESNAKE-EUROPE,2019-10-04 00:00:00,"de 17,00 a 01,00 ",8500,DI-2019-9645-GCABA-DGHP,Club Hípico Argentino,Avda. F. Alcorta 7285,"FIGUEROA ALCORTA, PRES. AV.",7285,Belgrano,Comuna 13,1428,C1428BCI
201910,-58.448246,-34.590964,PAN PERCUSION CON SEÑAS,2019-10-03 00:00:00,"de 19,00 a 00,30 hrs.",2999,DI-2019-9697-GCABA-DGHP,Complejo C Art Media,Avda. Corrientes 6271,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201910,-58.426797,-34.569389,60 AÑOS AAPAS,2019-10-03 00:00:00,"de 20,00 a 03,00 ",300,DI-2019-9698-GCABA-DGHP,Hipódromo de Palermo,Avda. del Libertador 4103.,DEL LIBERTADOR AV.,4103,Palermo,Comuna 14,1426,C1426BWC
201910,-58.458245,-34.545782,LOS CALIGARIS,2019-10-12 00:00:00,"de 18,00 a 01,00 hrs.",2999,DI-2019-65-GCABA-DGLYTAGC,Obras Sanitarias,Avda. del Libertador 7395,DEL LIBERTADOR AV.,7395,Nu\u00f1ez,Comuna 13,1429,C1429BMG
201910,-58.426797,-34.569389,MUSE,2019-10-11 00:00:00,"de 17,00 a 01,00 ",16000,DI-2019-64-GCABA-DGLYTAGC,Hipódromo de Palermo,Avda. del Libertador 4103.,DEL LIBERTADOR AV.,4103,Palermo,Comuna 14,1426,C1426BWC
